Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Azelaic Acid	0.9243119373	1.1037763395	#DIV/0!	1.0558338493	1.1806565434	1.2068179148	2.1690218068	2.189323616	#DIV/0!	0.067292939	1.1821883969	1.0094931832	0.7420512014	0.4269802296	0	0.1489263987	0.2851881575	0	0.1897865036	0.3477958209	0.1183161813	1.1442810656	0.8327986222	0.2475520669
Benzoic acid, 4-hydroxy-	0.8198064294	0.7027626961	#DIV/0!	0.7615330839	0.7651249361	1.0624933409	1.3841456904	0.602881022	#DIV/0!	0.4677166812	2.8940110484	0.9381891174	0.6045085039	0.4902299229	0	0.572108723	0.4969128447	0	0.8105595438	0.807965055	0.3410770977	0.4403560375	0.2880949333	0.523503675
Citric acid	0.5433498807	1.0867879451	#DIV/0!	0.4274406024	0.1573268366	0.2707928999	1.5876126077	0.7528657404	#DIV/0!	0.0837013421	0.5452511961	0.2058239059	0.468053165	0.3398159994	0	0.1071901585	0.1395551647	0	0.3877255151	0.4062380351	0.1235758621	0.2277319323	0.2644498676	0.1767738157
Fumaric acid	1.0274156666	1.1818448859	#DIV/0!	1.6113711372	0.8310201291	0.5960298191	1.8307414304	2.6460870465	#DIV/0!	0.076518718	1.0235301229	0.3295056672	0.3607004039	0.4162778295	0	2.0423801599	1.3831300762	0	0.1840271375	0.602335323	0.2445418882	1.2754164244	1.9260090554	0.8939167074
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	0.4698160767	0.8063696024	#DIV/0!	0.6280809418	0.4439129331	0.7380394777	1.5113867874	1.0278140805	#DIV/0!	0	0.3310446966	0.6045010825	0.7596793407	0.5164643048	0	0.6869483804	0.571577688	0	0.7896997392	0.1234859985	0.2036822441	0.483243134	0.3436068222	0.2860853373
Lactic acid	0	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Malic acid	0.4961393807	1.0057871103	#DIV/0!	0.8014484919	0.4182844523	0.5191415459	1.2779074464	1.1260759612	#DIV/0!	0.098878998	0.5891434294	0.4034867702	0.3628645924	0.3172346811	0	0.5438074376	0.4410996258	0	0.6470971195	0.4861758079	0.1144406577	0.6084178767	0.4154227393	0.4406014169
Malonic acid	0.8351081084	0.9654088689	#DIV/0!	#DIV/0!	0.714183945	1.4254011123	1.2504386688	0.7468746604	#DIV/0!	0.5967834141	1.0626241826	1.1545697435	0.8615906982	0.7011436883	0	0.9257588275	0.495718392	0	0.6147672345	0.6019276151	0.2875845406	0.5089079064	0.2117536389	0.5547262703
Pyruvic acid	1.2332674414	1.8038750528	#DIV/0!	0.8716221635	1.0276612522	1.4599713301	1.5556020593	0.7940311474	#DIV/0!	1.1227226859	1.6765078132	1.192246996	1.0000021977	2.2389521146	0	2.5643388955	1.5348539139	0	0.7956800189	2.0884118452	1.7707643216	0.8911635496	0.5747368348	1.1930431175
Salicylic acid	0	0	#DIV/0!	0	0	0	0	0	#DIV/0!	0	0	0	1.0340890441	0.8950056358	0	0.6877993989	0.8692819802	0	1.1000232045	0.2715709271	0.3602430598	0.939421292	0.9825893592	0.8253321166
Shikimic acid	0.7592471039	1.0372119506	#DIV/0!	1.3815474901	1.6342528764	1.4532467697	1.644363837	1.0918382215	#DIV/0!	0.1871513492	1.0952248247	1.0196066856	0.6351943618	0.7860590594	0	0.7084139236	0.91915185	0	0.4957086506	0.2353323732	0.4462146886	0.7077198699	0.4415914979	0.4712953969
Succinic acid	0.6998156567	0.7940398168	#DIV/0!	1.1581806116	0.647712132	0.7306532784	2.6050705083	1.2744988078	#DIV/0!	0.1172718837	0.5588431167	0.7185601881	0.5474188665	0.471084164	0	0.4871955075	0.5923290767	0	0.3903482443	0.1884988035	0.1638004379	0.7760692233	0.6953428087	0.5017569212
Alanine	1.0803602603	0.8708116388	#DIV/0!	1.2231674498	0.4388318531	0.6611610418	1.3113097151	0.7317186671	#DIV/0!	0.1959171165	0.109031185	0.2499222043	0.1969879218	0.4199049378	0	0.2549528368	0.3592486958	0	1.3409409507	0.7224617603	0.7566940752	0.9427108677	1.0087921258	1.716133507
Alanine, 3-cyano-	0	0	#DIV/0!	0	0	0	2.2504387288	0.4146751945	#DIV/0!	0	4.3800400091	0.7065396509	0.7112965823	0.3348090033	0	0.0926435328	0.3347174729	0	0.4109716089	0.7286096114	0.0892994913	0.1478375831	0.9980012905	0.0497615323
Alanine, beta-	0.4579432832	0.7342140844	#DIV/0!	0.2984492359	0.3458008818	0.4511533901	1.1185260595	0.5665467917	#DIV/0!	0.1074561498	0.49045868	0.4574050231	0.3212936271	0.2582839662	0	0.2226224015	0.2983143793	0	0.5439234829	0.545324961	0.2105416634	0.2629583781	0.289848565	0.2692168441
Asparagine	0.2740673665	1.0554053325	#DIV/0!	0.4243419527	0.1266483994	2.1241846324	8.0734542193	0.1707102349	#DIV/0!	0.9083427901	0.8676896287	0.0755619717	0.203348321	0.4672963232	0	0.0178440918	0.1920004994	0	0.0478607497	0.4022197244	0.0206909532	0.0286151676	0.058596955	0.0221271194
Aspartic acid	0.9995061714	1.1471503093	#DIV/0!	1.0076323262	0.8262430632	0.9001180353	1.2952916057	0.7228557497	#DIV/0!	0.1431308063	0.4436245114	0.5962925015	0.5785624959	0.2909419974	0	0.911939056	0.9662792966	0	1.0977129829	0.4685268621	0.4791480364	0.5492656507	0.6477811983	0.8524147116
Butanoic acid, 4-amino-	0.8633913837	0.3809050318	#DIV/0!	0.3484070348	0.257976715	0.7586537925	1.8209287197	0.5797361998	#DIV/0!	0.0498648235	0.7999755407	0.5177887125	0.6942764576	0.5408247296	0	0.2279924507	0.7790643685	0	0.3940200608	0.6957232713	0.1690213479	0.2778033242	0.308441415	0.2758524006
Caproic acid, 6-amino-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutamic acid	0.4263131433	0.8953823861	#DIV/0!	0.0569751061	0.0557952386	0.1657288485	3.5101172032	0.4434537321	#DIV/0!	0.0239750437	0.8155338339	0.4619136357	0.7260469827	1.1343215975	0	0.0926566667	0.7246481228	0	0.4592120156	0.1285137402	0.3911689915	0.0150546453	0.1148145371	0.0227961813
Glutamine	1.3545773637	0.6095935136	#DIV/0!	0.843425765	0.3453186931	0	4.9634686541	0.5117660549	#DIV/0!	0.7553557139	0.4194000253	0.1121058604	0.5201995564	0.3842035215	0	0.0117239277	0.1636555288	0	0.1665194562	0.7369997188	0.0407213663	0.0341728133	0.0168112603	0.0213260993
Glycine	0.7430887434	1.1140249714	#DIV/0!	0.5878709155	0.6755532816	0.5346276102	1.3795481049	1.2766067183	#DIV/0!	0.023748759	0.0782276638	0.1147096296	0.5589619567	0.2528900564	0	0.0191562372	0.1133119335	0	0.0996982095	0.3514485634	0.2165701411	0.299616604	0.2480247528	0.1672301264
Leucine, cyclo-	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	3.1596655764	0.3687453009	0	0	#DIV/0!	0	4.218540797	0.1100123362	0.1379004324	1.6936333246	0.2209499146	0.4324047939
Lysine	#DIV/0!	0.7481618759	#DIV/0!	1.1808028435	0.7919144055	1.2633173809	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
N-Carboxyglycine	0.4995041188	2.3483943976	#DIV/0!	0.423707565	0.2846882712	0.3243868384	1.801824675	5.5721895717	#DIV/0!	0.0128373394	0.1125610018	0.114469835	0.3517655313	1.9210330961	0	0.0091854843	0.0494222562	0	0.2087316228	0.1647929992	0.1207006601	0.2180248409	0.1542859247	0.05267712
Ornithine	0.5343344964	0.913768646	#DIV/0!	0.3692723521	0.1555111421	0.2904882462	2.0562727552	0.6655822651	#DIV/0!	0.074017883	0.6186505945	0.1094138215	0.5986631373	0.4570132761	0	0.0842848786	0.2762796405	0	0.6589526043	0.4100455129	0.2058092935	0.1951087532	0.2317338584	0.1544844286
Phenylalanine	0	0	#DIV/0!	0	0	0	1.504868055	0.4960536712	#DIV/0!	0.0187053712	0.5206210958	0.3094214873	0.4150347083	0.7788580299	0	0.5548568646	0.1001903587	0	0.7078867023	0.3585374541	0.3317025413	0.9597637815	0.1843657214	0
Proline	0.3105415124	0.1992422895	#DIV/0!	0.068985346	0.1668952408	0.1439797273	0.9338100031	0.4967923599	#DIV/0!	0.0270500539	0.2927169254	0.2019843752	0.48131621	0.3350500446	0	0.3787361953	0.5512718237	0	0.2456422826	0.535291002	0.2140836225	0.4616069502	0.2635443381	0.2479199868
Pyroglutamic acid	0.9366054979	0.6903660702	#DIV/0!	0.7986205534	1.4480009071	1.4010239555	0.9426583837	0.7977122643	#DIV/0!	0.4495495414	0.7340894691	1.8815334074	0.7947703483	0.2121814551	0	0.6393891	0.3772315819	0	0.6617753242	0.6062914467	0.2738131816	0.410252034	0.2233188491	0.6640135344
Serine	0.7905958375	0.734968606	#DIV/0!	0.2370687209	0.1157681889	0.1549241736	11.5895258676	0.9717672518	#DIV/0!	0.0127578632	6.2095085084	1.771807276	0.9896686221	7.5863096267	0	1.1675409175	2.3199227174	0	2.3536870522	0.5423052624	5.0224892225	2.7585678706	3.5189701683	0.7860817329
Serine, O-acetyl-	0	0	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	0	0	0	0.4002164099	0.5118805188	0	0	0.2369219817	0	0	0	0	0	#DIV/0!	0
Threonine	0	0.6325033702	#DIV/0!	0.2368497451	0.0285016607	0.0386755101	1.2396226936	0.3412243419	#DIV/0!	0.0177048829	0.99558824	0.9951174962	0.4649009336	0.5623364771	0	0.7135819375	0.8812098586	0	0.5944582416	0.6808967755	0.7950166901	0.6040315679	1.5000280958	0.4329219901
Tyrosine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0.9459571719	0.3323373891	0	0	0.4592180083	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Valine	0.6111640679	0.8262898412	#DIV/0!	0.6311201292	0.4664045581	0.6573295752	1.4558332822	0.5824976285	#DIV/0!	0.1029588881	0.7216437844	0.5846302264	0.4941046943	0.3223009002	0	0.4913922394	0.583425723	0	1.2408703257	0.5950779059	0.3654260097	0.8607819428	0.9142428904	2.4553031464
3-Indoxyl sulfate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Adenosine, 5-methylthio-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0.564743261	0.5310354266	0	0	1.2221438117	0	0	0	0	0	#DIV/0!	0
Agmatine	#DIV/0!	0	#DIV/0!	0	0	0	0.8829930244	0.3377802553	#DIV/0!	0	0.8538252417	1.8708779615	0.374148024	1.2485781326	0	0.190692907	1.4526166862	0	0.4656404892	0.3717354209	0.2955184458	0.2011538285	0	0.274979665
Arginine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	1.0085385545	0.8265020509	0	0	0.7113938222	0	0	0	0	0	0	0
Isonicotinic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.5927437887	0.7022546754	0	#DIV/0!	1.1366883907	0	1.0293606266	0.1786838842	0.4755208046	#DIV/0!	0.4587046396	1.0636041197
Nicotinic acid, 6-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Putrescine	1.133316988	0.6414043742	#DIV/0!	0.4210895994	0.9268619617	0.8314169541	1.3481379753	0.4888112103	#DIV/0!	0.1266922066	0.9716508108	1.1970927852	0.6749971463	0.6613511758	0	0.2993346669	1.605853248	0	0.5258481103	0.470137216	0.5345024627	0.5181122904	0.3815414832	0.2928845111
Pyrrole-2-carboxylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.3891168693	0.6711957649	0	0	0.8830133519	0	0.2277045736	0.2899272879	0.4938913397	0.7663122381	0.8563869375	0.640131287
Spermidine	0.5287304572	0.9872029316	#DIV/0!	0.9635566569	0.854992486	1.2060373993	4.9313355405	0.3165581091	#DIV/0!	0.0825413078	0.9282790843	0.0655274926	0.5498728045	0.3377243681	0	0.0673022263	3.0210233995	0	0.4496042548	0.1725023866	1.505559584	0.2093505428	0.1879587721	0.1255480321
